City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,henderson,36.0397,-114.9819,71.94,30,20,18.41,US,Mon Feb 19 15:14:59 2024
107,acarau,-2.8856,-40.12,79.38,85,100,8.28,BR,Mon Feb 19 15:18:57 2024
108,howrah,22.5892,88.3103,75.2,88,40,4.61,IN,Mon Feb 19 15:18:58 2024
109,olyokminsk,60.3736,120.4264,-7.78,91,100,11.32,RU,Mon Feb 19 15:18:58 2024
110,georgetown,5.4112,100.3354,79.95,94,40,3.44,MY,Mon Feb 19 15:15:10 2024
111,pyapon,16.2833,95.6833,64.56,68,1,6.89,MM,Mon Feb 19 15:18:59 2024
112,sisimiut,66.9395,-53.6735,11.41,95,99,16.82,GL,Mon Feb 19 15:18:59 2024
113,baiti,13.745,-14.7482,89.19,9,28,12.21,SN,Mon Feb 19 15:19:00 2024
114,blackmans bay,-43.0167,147.3167,63.73,70,100,3.0,AU,Mon Feb 19 15:19:00 2024
115,kapuskasing,49.4169,-82.4331,5.09,56,100,5.75,CA,Mon Feb 19 15:19:01 2024
116,freetown,8.484,-13.2299,79.92,89,65,7.74,SL,Mon Feb 19 15:19:01 2024
117,saint-leu,-21.15,55.2833,76.06,69,33,7.02,RE,Mon Feb 19 15:19:02 2024
118,gazli,40.1333,63.45,23.63,31,1,6.44,UZ,Mon Feb 19 15:19:03 2024
119,bataipora,-22.2953,-53.2711,79.7,65,66,4.47,BR,Mon Feb 19 15:19:03 2024
120,labuan,5.2767,115.2417,77.36,94,20,0.0,MY,Mon Feb 19 15:19:04 2024
121,susuman,62.7833,148.1667,-28.19,99,100,3.36,RU,Mon Feb 19 15:19:04 2024
122,happy valley-goose bay,53.3168,-60.3315,5.31,61,75,10.36,CA,Mon Feb 19 15:19:06 2024
123,north branch,45.5113,-92.9802,39.31,51,100,7.36,US,Mon Feb 19 15:19:06 2024
124,bhimunipatnam,17.8833,83.4333,71.47,78,24,7.43,IN,Mon Feb 19 15:19:06 2024
125,bredasdorp,-34.5322,20.0403,68.45,89,3,3.69,ZA,Mon Feb 19 15:19:07 2024
126,jinka,5.65,36.65,71.22,63,95,1.63,ET,Mon Feb 19 15:19:07 2024
127,aasiaat,68.7098,-52.8699,7.74,99,92,3.74,GL,Mon Feb 19 15:19:08 2024
128,keflavik,64.0049,-22.5624,39.11,93,100,9.22,IS,Mon Feb 19 15:19:09 2024
129,san antonio de pale,-1.4014,5.6325,83.28,79,89,6.53,GQ,Mon Feb 19 15:19:10 2024
130,n'zeto,-7.2312,12.8666,80.56,81,86,5.95,AO,Mon Feb 19 15:19:12 2024
131,broken hill,-31.95,141.4333,78.53,16,47,10.25,AU,Mon Feb 19 15:19:12 2024
132,tolanaro,-25.0319,46.9987,72.59,79,9,10.07,MG,Mon Feb 19 15:19:13 2024
133,iskateley,67.6803,53.1512,18.01,91,100,21.99,RU,Mon Feb 19 15:19:14 2024
134,pimentel,-6.8367,-79.9342,88.09,51,0,17.27,PE,Mon Feb 19 15:19:14 2024
135,weno,7.4515,151.8468,82.35,69,20,13.8,FM,Mon Feb 19 15:19:15 2024
136,luganville,-15.5333,167.1667,83.37,77,76,3.67,VU,Mon Feb 19 15:19:16 2024
137,yuzhno-kurilsk,44.0306,145.8556,31.37,93,100,25.5,RU,Mon Feb 19 15:19:16 2024
138,alibag,18.6411,72.8792,77.07,70,55,8.7,IN,Mon Feb 19 15:19:17 2024
139,howard springs,-12.497,131.047,84.11,95,54,7.02,AU,Mon Feb 19 15:19:17 2024
140,labytnangi,66.6572,66.4183,-1.84,96,60,8.1,RU,Mon Feb 19 15:19:18 2024
141,alice springs,-23.7,133.8833,80.22,69,100,0.0,AU,Mon Feb 19 15:19:18 2024
142,liwale,-9.7667,37.9333,70.38,96,95,2.28,TZ,Mon Feb 19 15:19:18 2024
143,puerto francisco de orellana,-0.4667,-76.9667,89.65,70,40,3.44,EC,Mon Feb 19 15:19:19 2024
144,tamanrasset,22.785,5.5228,57.11,19,0,6.91,DZ,Mon Feb 19 15:19:19 2024
145,la'ie,21.6477,-157.9253,78.76,55,9,8.01,US,Mon Feb 19 15:19:20 2024
146,solnechnyy,50.7214,136.6319,-5.96,99,100,2.33,RU,Mon Feb 19 15:19:20 2024
147,nago,26.5881,127.9761,72.14,83,100,8.99,JP,Mon Feb 19 15:19:21 2024
148,guelmim,28.987,-10.0574,63.23,46,0,4.76,MA,Mon Feb 19 15:19:21 2024
149,swan hill,-35.3378,143.5544,70.5,51,36,5.44,AU,Mon Feb 19 15:19:21 2024
150,kota kinabalu,5.9749,116.0724,75.18,94,20,3.44,MY,Mon Feb 19 15:19:22 2024
151,illizi,26.4833,8.4667,60.6,20,90,9.8,DZ,Mon Feb 19 15:19:22 2024
152,uturoa,-16.7333,-151.4333,82.18,78,88,11.5,PF,Mon Feb 19 15:19:23 2024
153,ebon,4.582,168.6964,83.26,79,84,13.69,MH,Mon Feb 19 15:19:23 2024
154,quang ngai,15.1167,108.8,70.61,91,82,5.21,VN,Mon Feb 19 15:19:24 2024
155,margate,51.3813,1.3862,47.7,79,100,4.0,GB,Mon Feb 19 15:19:24 2024
156,grand falls-windsor,48.9332,-55.6649,12.2,91,56,5.19,CA,Mon Feb 19 15:19:25 2024
157,san rafael del sur,11.8485,-86.4384,94.17,36,21,18.9,NI,Mon Feb 19 15:19:26 2024
